,Statistic,Year,UNIT,VALUE,County_name
132,Persons Killed,2006,Number,23.0,Kildare
133,Persons Killed,2006,Number,4.0,Kilkenny
134,Persons Killed,2006,Number,8.0,Laois
135,Persons Killed,2006,Number,6.0,Longford
136,Persons Killed,2006,Number,14.0,Louth
137,Persons Killed,2006,Number,22.0,Meath
138,Persons Killed,2006,Number,9.0,Offaly
139,Persons Killed,2006,Number,18.0,Westmeath
140,Persons Killed,2006,Number,20.0,Wexford
141,Persons Killed,2006,Number,11.0,Wicklow
142,Persons Killed,2006,Number,9.0,Clare
143,Persons Killed,2006,Number,33.0,Cork
144,Persons Killed,2006,Number,21.0,Kerry
145,Persons Killed,2006,Number,16.0,Limerick
146,Persons Killed,2006,Number,26.0,Tipperary
147,Persons Killed,2006,Number,8.0,Waterford
148,Persons Killed,2006,Number,19.0,Galway
149,Persons Killed,2006,Number,3.0,Leitrim
150,Persons Killed,2006,Number,11.0,Mayo
151,Persons Killed,2006,Number,5.0,Roscommon
152,Persons Killed,2006,Number,4.0,Sligo
153,Persons Killed,2006,Number,7.0,Cavan
154,Persons Killed,2006,Number,19.0,Donegal
155,Persons Killed,2006,Number,8.0,Monaghan
156,Persons Killed,2007,Number,3.0,Carlow
157,Persons Killed,2007,Number,35.0,Dublin
158,Persons Killed,2007,Number,13.0,Kildare
159,Persons Killed,2007,Number,12.0,Kilkenny
160,Persons Killed,2007,Number,5.0,Laois
161,Persons Killed,2007,Number,6.0,Longford
162,Persons Killed,2007,Number,16.0,Louth
163,Persons Killed,2007,Number,14.0,Meath
164,Persons Killed,2007,Number,5.0,Offaly
165,Persons Killed,2007,Number,14.0,Westmeath
166,Persons Killed,2007,Number,17.0,Wexford
167,Persons Killed,2007,Number,9.0,Wicklow
168,Persons Killed,2007,Number,12.0,Clare
169,Persons Killed,2007,Number,31.0,Cork
170,Persons Killed,2007,Number,14.0,Kerry
171,Persons Killed,2007,Number,16.0,Limerick
172,Persons Killed,2007,Number,18.0,Tipperary
173,Persons Killed,2007,Number,6.0,Waterford
174,Persons Killed,2007,Number,24.0,Galway
175,Persons Killed,2007,Number,7.0,Leitrim
176,Persons Killed,2007,Number,9.0,Mayo
177,Persons Killed,2007,Number,7.0,Roscommon
178,Persons Killed,2007,Number,7.0,Sligo
179,Persons Killed,2007,Number,10.0,Cavan
180,Persons Killed,2007,Number,22.0,Donegal
181,Persons Killed,2007,Number,6.0,Monaghan
182,Persons Killed,2008,Number,1.0,Carlow
183,Persons Killed,2008,Number,22.0,Dublin
184,Persons Killed,2008,Number,13.0,Kildare
185,Persons Killed,2008,Number,5.0,Kilkenny
186,Persons Killed,2008,Number,12.0,Laois
187,Persons Killed,2008,Number,3.0,Longford
188,Persons Killed,2008,Number,7.0,Louth
189,Persons Killed,2008,Number,9.0,Meath
190,Persons Killed,2008,Number,8.0,Offaly
191,Persons Killed,2008,Number,3.0,Westmeath
192,Persons Killed,2008,Number,16.0,Wexford
193,Persons Killed,2008,Number,4.0,Wicklow
194,Persons Killed,2008,Number,7.0,Clare
195,Persons Killed,2008,Number,24.0,Cork
196,Persons Killed,2008,Number,19.0,Kerry
197,Persons Killed,2008,Number,18.0,Limerick
198,Persons Killed,2008,Number,21.0,Tipperary
199,Persons Killed,2008,Number,7.0,Waterford
200,Persons Killed,2008,Number,24.0,Galway
201,Persons Killed,2008,Number,5.0,Leitrim
202,Persons Killed,2008,Number,10.0,Mayo
203,Persons Killed,2008,Number,3.0,Roscommon
204,Persons Killed,2008,Number,7.0,Sligo
205,Persons Killed,2008,Number,8.0,Cavan
206,Persons Killed,2008,Number,18.0,Donegal
207,Persons Killed,2008,Number,5.0,Monaghan
208,Persons Killed,2009,Number,3.0,Carlow
209,Persons Killed,2009,Number,31.0,Dublin
210,Persons Killed,2009,Number,10.0,Kildare
211,Persons Killed,2009,Number,5.0,Kilkenny
212,Persons Killed,2009,Number,5.0,Laois
213,Persons Killed,2009,Number,2.0,Longford
214,Persons Killed,2009,Number,5.0,Louth
215,Persons Killed,2009,Number,12.0,Meath
216,Persons Killed,2009,Number,4.0,Offaly
217,Persons Killed,2009,Number,4.0,Westmeath
218,Persons Killed,2009,Number,4.0,Wexford
219,Persons Killed,2009,Number,4.0,Wicklow
220,Persons Killed,2009,Number,7.0,Clare
221,Persons Killed,2009,Number,21.0,Cork
222,Persons Killed,2009,Number,12.0,Kerry
223,Persons Killed,2009,Number,22.0,Limerick
224,Persons Killed,2009,Number,12.0,Tipperary
225,Persons Killed,2009,Number,3.0,Waterford
226,Persons Killed,2009,Number,23.0,Galway
227,Persons Killed,2009,Number,0.0,Leitrim
228,Persons Killed,2009,Number,10.0,Mayo
229,Persons Killed,2009,Number,4.0,Roscommon
