,Statistic,Year,Age Group,Sex,Road User Type,UNIT,VALUE
1251,Killed Casualties,2011,All ages,Male,Motor cyclists,Number,17
1252,Killed Casualties,2011,All ages,Male,All Car users,Number,57
1253,Killed Casualties,2011,All ages,Male,Car drivers,Number,42
1254,Killed Casualties,2011,All ages,Male,Car passengers,Number,15
1255,Killed Casualties,2011,All ages,Male,Other road users,Number,14
1257,Killed Casualties,2011,All ages,Female,Pedestrians,Number,14
1258,Killed Casualties,2011,All ages,Female,Pedal cyclists,Number,0
1259,Killed Casualties,2011,All ages,Female,Motor cyclists,Number,1
1260,Killed Casualties,2011,All ages,Female,All Car users,Number,38
1261,Killed Casualties,2011,All ages,Female,Car drivers,Number,23
1262,Killed Casualties,2011,All ages,Female,Car passengers,Number,15
1263,Killed Casualties,2011,All ages,Female,Other road users,Number,3
1457,Killed Casualties,2012,All ages,Male,Pedestrians,Number,20
1458,Killed Casualties,2012,All ages,Male,Pedal cyclists,Number,4
1459,Killed Casualties,2012,All ages,Male,Motor cyclists,Number,16
1460,Killed Casualties,2012,All ages,Male,All Car users,Number,53
1461,Killed Casualties,2012,All ages,Male,Car drivers,Number,36
1462,Killed Casualties,2012,All ages,Male,Car passengers,Number,17
1463,Killed Casualties,2012,All ages,Male,Other road users,Number,15
1465,Killed Casualties,2012,All ages,Female,Pedestrians,Number,9
1466,Killed Casualties,2012,All ages,Female,Pedal cyclists,Number,4
1467,Killed Casualties,2012,All ages,Female,Motor cyclists,Number,3
1468,Killed Casualties,2012,All ages,Female,All Car users,Number,36
1469,Killed Casualties,2012,All ages,Female,Car drivers,Number,28
1470,Killed Casualties,2012,All ages,Female,Car passengers,Number,8
1471,Killed Casualties,2012,All ages,Female,Other road users,Number,2
1665,Killed Casualties,2013,All ages,Male,Pedestrians,Number,18
1666,Killed Casualties,2013,All ages,Male,Pedal cyclists,Number,4
1667,Killed Casualties,2013,All ages,Male,Motor cyclists,Number,24
1668,Killed Casualties,2013,All ages,Male,All Car users,Number,81
1669,Killed Casualties,2013,All ages,Male,Car drivers,Number,61
1670,Killed Casualties,2013,All ages,Male,Car passengers,Number,20
1671,Killed Casualties,2013,All ages,Male,Other road users,Number,15
1673,Killed Casualties,2013,All ages,Female,Pedestrians,Number,13
1674,Killed Casualties,2013,All ages,Female,Pedal cyclists,Number,1
1675,Killed Casualties,2013,All ages,Female,Motor cyclists,Number,2
1676,Killed Casualties,2013,All ages,Female,All Car users,Number,26
1677,Killed Casualties,2013,All ages,Female,Car drivers,Number,18
1678,Killed Casualties,2013,All ages,Female,Car passengers,Number,8
1679,Killed Casualties,2013,All ages,Female,Other road users,Number,4
1873,Killed Casualties,2014,All ages,Male,Pedestrians,Number,20
1874,Killed Casualties,2014,All ages,Male,Pedal cyclists,Number,10
1875,Killed Casualties,2014,All ages,Male,Motor cyclists,Number,23
1876,Killed Casualties,2014,All ages,Male,All Car users,Number,68
1877,Killed Casualties,2014,All ages,Male,Car drivers,Number,46
1878,Killed Casualties,2014,All ages,Male,Car passengers,Number,22
1879,Killed Casualties,2014,All ages,Male,Other road users,Number,11
1881,Killed Casualties,2014,All ages,Female,Pedestrians,Number,21
1882,Killed Casualties,2014,All ages,Female,Pedal cyclists,Number,3
1883,Killed Casualties,2014,All ages,Female,Motor cyclists,Number,1
1884,Killed Casualties,2014,All ages,Female,All Car users,Number,33
1885,Killed Casualties,2014,All ages,Female,Car drivers,Number,20
1886,Killed Casualties,2014,All ages,Female,Car passengers,Number,13
1887,Killed Casualties,2014,All ages,Female,Other road users,Number,0
2081,Killed Casualties,2015,All ages,Male,Pedestrians,Number,22
2082,Killed Casualties,2015,All ages,Male,Pedal cyclists,Number,9
2083,Killed Casualties,2015,All ages,Male,Motor cyclists,Number,21
