,Statistic,Year,Age Group,Sex,Road User Type,UNIT,VALUE
6047,Injured Cassualties,2019,All ages,Female,Other road users,Number,138
6241,All Killed and Injured Casualties,2005,All ages,Male,Pedestrians,Number,563
6242,All Killed and Injured Casualties,2005,All ages,Male,Pedal cyclists,Number,152
6243,All Killed and Injured Casualties,2005,All ages,Male,Motor cyclists,Number,496
6244,All Killed and Injured Casualties,2005,All ages,Male,All Car users,Number,2991
6245,All Killed and Injured Casualties,2005,All ages,Male,Car drivers,Number,2081
6246,All Killed and Injured Casualties,2005,All ages,Male,Car passengers,Number,910
6247,All Killed and Injured Casualties,2005,All ages,Male,Other road users,Number,772
6249,All Killed and Injured Casualties,2005,All ages,Female,Pedestrians,Number,419
6250,All Killed and Injured Casualties,2005,All ages,Female,Pedal cyclists,Number,45
6251,All Killed and Injured Casualties,2005,All ages,Female,Motor cyclists,Number,45
6252,All Killed and Injured Casualties,2005,All ages,Female,All Car users,Number,2572
6253,All Killed and Injured Casualties,2005,All ages,Female,Car drivers,Number,1587
6254,All Killed and Injured Casualties,2005,All ages,Female,Car passengers,Number,985
6255,All Killed and Injured Casualties,2005,All ages,Female,Other road users,Number,152
6449,All Killed and Injured Casualties,2006,All ages,Male,Pedestrians,Number,540
6450,All Killed and Injured Casualties,2006,All ages,Male,Pedal cyclists,Number,154
6451,All Killed and Injured Casualties,2006,All ages,Male,Motor cyclists,Number,446
6452,All Killed and Injured Casualties,2006,All ages,Male,All Car users,Number,2830
6453,All Killed and Injured Casualties,2006,All ages,Male,Car drivers,Number,1997
6454,All Killed and Injured Casualties,2006,All ages,Male,Car passengers,Number,833
6455,All Killed and Injured Casualties,2006,All ages,Male,Other road users,Number,758
6457,All Killed and Injured Casualties,2006,All ages,Female,Pedestrians,Number,406
6458,All Killed and Injured Casualties,2006,All ages,Female,Pedal cyclists,Number,44
6459,All Killed and Injured Casualties,2006,All ages,Female,Motor cyclists,Number,46
6460,All Killed and Injured Casualties,2006,All ages,Female,All Car users,Number,2713
6461,All Killed and Injured Casualties,2006,All ages,Female,Car drivers,Number,1676
6462,All Killed and Injured Casualties,2006,All ages,Female,Car passengers,Number,1037
6463,All Killed and Injured Casualties,2006,All ages,Female,Other road users,Number,156
6657,All Killed and Injured Casualties,2007,All ages,Male,Pedestrians,Number,539
6658,All Killed and Injured Casualties,2007,All ages,Male,Pedal cyclists,Number,197
6659,All Killed and Injured Casualties,2007,All ages,Male,Motor cyclists,Number,362
6660,All Killed and Injured Casualties,2007,All ages,Male,All Car users,Number,2626
6661,All Killed and Injured Casualties,2007,All ages,Male,Car drivers,Number,1797
6662,All Killed and Injured Casualties,2007,All ages,Male,Car passengers,Number,829
6663,All Killed and Injured Casualties,2007,All ages,Male,Other road users,Number,650
6665,All Killed and Injured Casualties,2007,All ages,Female,Pedestrians,Number,390
6666,All Killed and Injured Casualties,2007,All ages,Female,Pedal cyclists,Number,63
6667,All Killed and Injured Casualties,2007,All ages,Female,Motor cyclists,Number,28
6668,All Killed and Injured Casualties,2007,All ages,Female,All Car users,Number,2650
6669,All Killed and Injured Casualties,2007,All ages,Female,Car drivers,Number,1556
6670,All Killed and Injured Casualties,2007,All ages,Female,Car passengers,Number,1094
6671,All Killed and Injured Casualties,2007,All ages,Female,Other road users,Number,111
6865,All Killed and Injured Casualties,2008,All ages,Male,Pedestrians,Number,643
6866,All Killed and Injured Casualties,2008,All ages,Male,Pedal cyclists,Number,249
6867,All Killed and Injured Casualties,2008,All ages,Male,Motor cyclists,Number,460
6868,All Killed and Injured Casualties,2008,All ages,Male,All Car users,Number,3422
6869,All Killed and Injured Casualties,2008,All ages,Male,Car drivers,Number,2265
6870,All Killed and Injured Casualties,2008,All ages,Male,Car passengers,Number,1157
6871,All Killed and Injured Casualties,2008,All ages,Male,Other road users,Number,661
6873,All Killed and Injured Casualties,2008,All ages,Female,Pedestrians,Number,497
6874,All Killed and Injured Casualties,2008,All ages,Female,Pedal cyclists,Number,83
6875,All Killed and Injured Casualties,2008,All ages,Female,Motor cyclists,Number,37
6876,All Killed and Injured Casualties,2008,All ages,Female,All Car users,Number,3241
6877,All Killed and Injured Casualties,2008,All ages,Female,Car drivers,Number,1899
6878,All Killed and Injured Casualties,2008,All ages,Female,Car passengers,Number,1342
6879,All Killed and Injured Casualties,2008,All ages,Female,Other road users,Number,125
7073,All Killed and Injured Casualties,2009,All ages,Male,Pedestrians,Number,618
7074,All Killed and Injured Casualties,2009,All ages,Male,Pedal cyclists,Number,284
7075,All Killed and Injured Casualties,2009,All ages,Male,Motor cyclists,Number,416
7076,All Killed and Injured Casualties,2009,All ages,Male,All Car users,Number,3526
7077,All Killed and Injured Casualties,2009,All ages,Male,Car drivers,Number,2231
7078,All Killed and Injured Casualties,2009,All ages,Male,Car passengers,Number,1295
7079,All Killed and Injured Casualties,2009,All ages,Male,Other road users,Number,580
7081,All Killed and Injured Casualties,2009,All ages,Female,Pedestrians,Number,475
7082,All Killed and Injured Casualties,2009,All ages,Female,Pedal cyclists,Number,77
7083,All Killed and Injured Casualties,2009,All ages,Female,Motor cyclists,Number,29
7084,All Killed and Injured Casualties,2009,All ages,Female,All Car users,Number,3320
7085,All Killed and Injured Casualties,2009,All ages,Female,Car drivers,Number,1940
7086,All Killed and Injured Casualties,2009,All ages,Female,Car passengers,Number,1380
7087,All Killed and Injured Casualties,2009,All ages,Female,Other road users,Number,117
7281,All Killed and Injured Casualties,2010,All ages,Male,Pedestrians,Number,544
7282,All Killed and Injured Casualties,2010,All ages,Male,Pedal cyclists,Number,291
7283,All Killed and Injured Casualties,2010,All ages,Male,Motor cyclists,Number,360
7284,All Killed and Injured Casualties,2010,All ages,Male,All Car users,Number,2807
7285,All Killed and Injured Casualties,2010,All ages,Male,Car drivers,Number,1762
7286,All Killed and Injured Casualties,2010,All ages,Male,Car passengers,Number,1045
7287,All Killed and Injured Casualties,2010,All ages,Male,Other road users,Number,569
7289,All Killed and Injured Casualties,2010,All ages,Female,Pedestrians,Number,406
7290,All Killed and Injured Casualties,2010,All ages,Female,Pedal cyclists,Number,95
7291,All Killed and Injured Casualties,2010,All ages,Female,Motor cyclists,Number,28
7292,All Killed and Injured Casualties,2010,All ages,Female,All Car users,Number,2832
7293,All Killed and Injured Casualties,2010,All ages,Female,Car drivers,Number,1658
7294,All Killed and Injured Casualties,2010,All ages,Female,Car passengers,Number,1174
7295,All Killed and Injured Casualties,2010,All ages,Female,Other road users,Number,125
7489,All Killed and Injured Casualties,2011,All ages,Male,Pedestrians,Number,567
7490,All Killed and Injured Casualties,2011,All ages,Male,Pedal cyclists,Number,298
7491,All Killed and Injured Casualties,2011,All ages,Male,Motor cyclists,Number,296
7492,All Killed and Injured Casualties,2011,All ages,Male,All Car users,Number,2413
7493,All Killed and Injured Casualties,2011,All ages,Male,Car drivers,Number,1523
7494,All Killed and Injured Casualties,2011,All ages,Male,Car passengers,Number,890
7495,All Killed and Injured Casualties,2011,All ages,Male,Other road users,Number,525
7497,All Killed and Injured Casualties,2011,All ages,Female,Pedestrians,Number,397
7498,All Killed and Injured Casualties,2011,All ages,Female,Pedal cyclists,Number,89
7499,All Killed and Injured Casualties,2011,All ages,Female,Motor cyclists,Number,33
7500,All Killed and Injured Casualties,2011,All ages,Female,All Car users,Number,2361
7501,All Killed and Injured Casualties,2011,All ages,Female,Car drivers,Number,1388
7502,All Killed and Injured Casualties,2011,All ages,Female,Car passengers,Number,973
7503,All Killed and Injured Casualties,2011,All ages,Female,Other road users,Number,112
7697,All Killed and Injured Casualties,2012,All ages,Male,Pedestrians,Number,592
7698,All Killed and Injured Casualties,2012,All ages,Male,Pedal cyclists,Number,459
7699,All Killed and Injured Casualties,2012,All ages,Male,Motor cyclists,Number,316
7700,All Killed and Injured Casualties,2012,All ages,Male,All Car users,Number,2707
7701,All Killed and Injured Casualties,2012,All ages,Male,Car drivers,Number,1676
7702,All Killed and Injured Casualties,2012,All ages,Male,Car passengers,Number,1031
7703,All Killed and Injured Casualties,2012,All ages,Male,Other road users,Number,459
7705,All Killed and Injured Casualties,2012,All ages,Female,Pedestrians,Number,433
7706,All Killed and Injured Casualties,2012,All ages,Female,Pedal cyclists,Number,162
7707,All Killed and Injured Casualties,2012,All ages,Female,Motor cyclists,Number,32
7708,All Killed and Injured Casualties,2012,All ages,Female,All Car users,Number,2576
7709,All Killed and Injured Casualties,2012,All ages,Female,Car drivers,Number,1536
7710,All Killed and Injured Casualties,2012,All ages,Female,Car passengers,Number,1040
7711,All Killed and Injured Casualties,2012,All ages,Female,Other road users,Number,101
7905,All Killed and Injured Casualties,2013,All ages,Male,Pedestrians,Number,517
7906,All Killed and Injured Casualties,2013,All ages,Male,Pedal cyclists,Number,472
7907,All Killed and Injured Casualties,2013,All ages,Male,Motor cyclists,Number,268
7908,All Killed and Injured Casualties,2013,All ages,Male,All Car users,Number,2275
7909,All Killed and Injured Casualties,2013,All ages,Male,Car drivers,Number,1414
7910,All Killed and Injured Casualties,2013,All ages,Male,Car passengers,Number,861
7911,All Killed and Injured Casualties,2013,All ages,Male,Other road users,Number,426
7913,All Killed and Injured Casualties,2013,All ages,Female,Pedestrians,Number,394
7914,All Killed and Injured Casualties,2013,All ages,Female,Pedal cyclists,Number,145
7915,All Killed and Injured Casualties,2013,All ages,Female,Motor cyclists,Number,20
7916,All Killed and Injured Casualties,2013,All ages,Female,All Car users,Number,2191
7917,All Killed and Injured Casualties,2013,All ages,Female,Car drivers,Number,1313
7918,All Killed and Injured Casualties,2013,All ages,Female,Car passengers,Number,878
7919,All Killed and Injured Casualties,2013,All ages,Female,Other road users,Number,99
8113,All Killed and Injured Casualties,2014,All ages,Male,Pedestrians,Number,624
8114,All Killed and Injured Casualties,2014,All ages,Male,Pedal cyclists,Number,665
8115,All Killed and Injured Casualties,2014,All ages,Male,Motor cyclists,Number,285
8116,All Killed and Injured Casualties,2014,All ages,Male,All Car users,Number,2579
8117,All Killed and Injured Casualties,2014,All ages,Male,Car drivers,Number,1663
8118,All Killed and Injured Casualties,2014,All ages,Male,Car passengers,Number,916
8119,All Killed and Injured Casualties,2014,All ages,Male,Other road users,Number,491
8121,All Killed and Injured Casualties,2014,All ages,Female,Pedestrians,Number,476
8122,All Killed and Injured Casualties,2014,All ages,Female,Pedal cyclists,Number,198
8123,All Killed and Injured Casualties,2014,All ages,Female,Motor cyclists,Number,28
8124,All Killed and Injured Casualties,2014,All ages,Female,All Car users,Number,2657
8125,All Killed and Injured Casualties,2014,All ages,Female,Car drivers,Number,1505
8126,All Killed and Injured Casualties,2014,All ages,Female,Car passengers,Number,1152
8127,All Killed and Injured Casualties,2014,All ages,Female,Other road users,Number,88
8321,All Killed and Injured Casualties,2015,All ages,Male,Pedestrians,Number,579
8322,All Killed and Injured Casualties,2015,All ages,Male,Pedal cyclists,Number,701
8323,All Killed and Injured Casualties,2015,All ages,Male,Motor cyclists,Number,321
8324,All Killed and Injured Casualties,2015,All ages,Male,All Car users,Number,2422
8325,All Killed and Injured Casualties,2015,All ages,Male,Car drivers,Number,1601
8326,All Killed and Injured Casualties,2015,All ages,Male,Car passengers,Number,821
8327,All Killed and Injured Casualties,2015,All ages,Male,Other road users,Number,474
8329,All Killed and Injured Casualties,2015,All ages,Female,Pedestrians,Number,484
8330,All Killed and Injured Casualties,2015,All ages,Female,Pedal cyclists,Number,229
8331,All Killed and Injured Casualties,2015,All ages,Female,Motor cyclists,Number,32
8332,All Killed and Injured Casualties,2015,All ages,Female,All Car users,Number,2485
8333,All Killed and Injured Casualties,2015,All ages,Female,Car drivers,Number,1497
8334,All Killed and Injured Casualties,2015,All ages,Female,Car passengers,Number,988
8335,All Killed and Injured Casualties,2015,All ages,Female,Other road users,Number,105
8529,All Killed and Injured Casualties,2016,All ages,Male,Pedestrians,Number,565
8530,All Killed and Injured Casualties,2016,All ages,Male,Pedal cyclists,Number,701
8531,All Killed and Injured Casualties,2016,All ages,Male,Motor cyclists,Number,353
8532,All Killed and Injured Casualties,2016,All ages,Male,All Car users,Number,2354
8533,All Killed and Injured Casualties,2016,All ages,Male,Car drivers,Number,1611
8534,All Killed and Injured Casualties,2016,All ages,Male,Car passengers,Number,743
8535,All Killed and Injured Casualties,2016,All ages,Male,Other road users,Number,474
8537,All Killed and Injured Casualties,2016,All ages,Female,Pedestrians,Number,491
8538,All Killed and Injured Casualties,2016,All ages,Female,Pedal cyclists,Number,255
8539,All Killed and Injured Casualties,2016,All ages,Female,Motor cyclists,Number,33
8540,All Killed and Injured Casualties,2016,All ages,Female,All Car users,Number,2420
8541,All Killed and Injured Casualties,2016,All ages,Female,Car drivers,Number,1500
8542,All Killed and Injured Casualties,2016,All ages,Female,Car passengers,Number,920
8543,All Killed and Injured Casualties,2016,All ages,Female,Other road users,Number,87
8737,All Killed and Injured Casualties,2017,All ages,Male,Pedestrians,Number,654
8738,All Killed and Injured Casualties,2017,All ages,Male,Pedal cyclists,Number,792
8739,All Killed and Injured Casualties,2017,All ages,Male,Motor cyclists,Number,342
8740,All Killed and Injured Casualties,2017,All ages,Male,All Car users,Number,2337
8741,All Killed and Injured Casualties,2017,All ages,Male,Car drivers,Number,1642
8742,All Killed and Injured Casualties,2017,All ages,Male,Car passengers,Number,695
8743,All Killed and Injured Casualties,2017,All ages,Male,Other road users,Number,467
8745,All Killed and Injured Casualties,2017,All ages,Female,Pedestrians,Number,505
8746,All Killed and Injured Casualties,2017,All ages,Female,Pedal cyclists,Number,280
8747,All Killed and Injured Casualties,2017,All ages,Female,Motor cyclists,Number,32
8748,All Killed and Injured Casualties,2017,All ages,Female,All Car users,Number,2414
8749,All Killed and Injured Casualties,2017,All ages,Female,Car drivers,Number,1510
8750,All Killed and Injured Casualties,2017,All ages,Female,Car passengers,Number,904
8751,All Killed and Injured Casualties,2017,All ages,Female,Other road users,Number,92
8945,All Killed and Injured Casualties,2018,All ages,Male,Pedestrians,Number,616
8946,All Killed and Injured Casualties,2018,All ages,Male,Pedal cyclists,Number,811
8947,All Killed and Injured Casualties,2018,All ages,Male,Motor cyclists,Number,441
8948,All Killed and Injured Casualties,2018,All ages,Male,All Car users,Number,2281
8949,All Killed and Injured Casualties,2018,All ages,Male,Car drivers,Number,1640
8950,All Killed and Injured Casualties,2018,All ages,Male,Car passengers,Number,641
8951,All Killed and Injured Casualties,2018,All ages,Male,Other road users,Number,541
8953,All Killed and Injured Casualties,2018,All ages,Female,Pedestrians,Number,523
8954,All Killed and Injured Casualties,2018,All ages,Female,Pedal cyclists,Number,261
8955,All Killed and Injured Casualties,2018,All ages,Female,Motor cyclists,Number,41
8956,All Killed and Injured Casualties,2018,All ages,Female,All Car users,Number,2452
8957,All Killed and Injured Casualties,2018,All ages,Female,Car drivers,Number,1531
8958,All Killed and Injured Casualties,2018,All ages,Female,Car passengers,Number,921
8959,All Killed and Injured Casualties,2018,All ages,Female,Other road users,Number,138
9153,All Killed and Injured Casualties,2019,All ages,Male,Pedestrians,Number,587
9154,All Killed and Injured Casualties,2019,All ages,Male,Pedal cyclists,Number,879
9155,All Killed and Injured Casualties,2019,All ages,Male,Motor cyclists,Number,419
9156,All Killed and Injured Casualties,2019,All ages,Male,All Car users,Number,2152
9157,All Killed and Injured Casualties,2019,All ages,Male,Car drivers,Number,1519
9158,All Killed and Injured Casualties,2019,All ages,Male,Car passengers,Number,633
9159,All Killed and Injured Casualties,2019,All ages,Male,Other road users,Number,498
9161,All Killed and Injured Casualties,2019,All ages,Female,Pedestrians,Number,520
9162,All Killed and Injured Casualties,2019,All ages,Female,Pedal cyclists,Number,254
9163,All Killed and Injured Casualties,2019,All ages,Female,Motor cyclists,Number,44
9164,All Killed and Injured Casualties,2019,All ages,Female,All Car users,Number,2203
9165,All Killed and Injured Casualties,2019,All ages,Female,Car drivers,Number,1373
9166,All Killed and Injured Casualties,2019,All ages,Female,Car passengers,Number,830
9167,All Killed and Injured Casualties,2019,All ages,Female,Other road users,Number,138
